ts_ms,x,y,z
1783806426627,-0.49970000982284546,-0.16840000450611115,1.2999999523162842
1783806426647,-0.49900001287460327,-0.1670999974012375,1.2799999713897705
1783806426667,-0.4984000027179718,-0.1656000018119812,1.2599999904632568
1783806426687,-0.4977000057697296,-0.16429999470710754,1.2300000190734863
1783806426707,-0.4970000088214874,-0.16290000081062317,1.2000000476837158
1783806426727,-0.49630001187324524,-0.1615000069141388,1.159999966621399
1783806426747,-0.49559998512268066,-0.16030000150203705,1.1299999952316284
1783806426767,-0.4948999881744385,-0.1589999943971634,1.0800000429153442
1783806426787,-0.4943000078201294,-0.15770000219345093,1.0399999618530273
1783806426807,-0.4936000108718872,-0.15620000660419464,1.0
1783806426827,-0.49300000071525574,-0.15489999949932098,0.949999988079071
1783806426847,-0.49239999055862427,-0.1535000056028366,0.8899999856948853
1783806426867,-0.4916999936103821,-0.15219999849796295,0.8299999833106995
1783806426887,-0.491100013256073,-0.1509000062942505,0.7699999809265137
1783806426907,-0.4903999865055084,-0.14959999918937683,0.7099999785423279
1783806426927,-0.48969998955726624,-0.14810000360012054,0.6399999856948853
1783806426947,-0.48910000920295715,-0.1467999964952469,0.5699999928474426
1783806426967,-0.48840001225471497,-0.14550000429153442,0.5
1783806426987,-0.4878000020980835,-0.14409999549388885,0.41999998688697815
1783806427007,-0.4871000051498413,-0.14300000667572021,0.3400000035762787
1783806427027,-0.48660001158714294,-0.14159999787807465,0.25
1783806427047,-0.48590001463890076,-0.14030000567436218,0.1599999964237213
1783806427067,-0.4853000044822693,-0.1387999951839447,0.09000000357627869
1783806427087,-0.48489999771118164,-0.1379999965429306,0.15000000596046448
1783806427107,-0.4844000041484833,-0.1370999962091446,0.20999999344348907
1783806427127,-0.48399999737739563,-0.13619999587535858,0.27000001072883606
1783806427147,-0.48350000381469727,-0.13529999554157257,0.3199999928474426
1783806427167,-0.4830999970436096,-0.13439999520778656,0.3700000047683716
1783806427187,-0.482699990272522,-0.13349999487400055,0.41999998688697815
1783806427207,-0.4821999967098236,-0.13279999792575836,0.4699999988079071
1783806427227,-0.48179998993873596,-0.13189999759197235,0.5099999904632568
1783806427247,-0.4812999963760376,-0.13120000064373016,0.5400000214576721
1783806427267,-0.48100000619888306,-0.13030000030994415,0.5799999833106995
1783806427288,-0.4805000126361847,-0.12939999997615814,0.6100000143051147
1783806427308,-0.48010000586509705,-0.12870000302791595,0.6299999952316284
1783806427328,-0.4796000123023987,-0.12780000269412994,0.6499999761581421
1783806427348,-0.47920000553131104,-0.12690000236034393,0.6700000166893005
1783806427368,-0.4787999987602234,-0.12620000541210175,0.6800000071525574
1783806427388,-0.47839999198913574,-0.12530000507831573,0.6899999976158142
1783806427408,-0.4778999984264374,-0.12460000067949295,0.699999988079071
1783806427428,-0.47749999165534973,-0.12370000034570694,0.699999988079071
1783806427448,-0.4771000146865845,-0.12280000001192093,0.699999988079071
1783806427468,-0.4767000079154968,-0.12189999967813492,0.6899999976158142
1783806427488,-0.4763000011444092,-0.12099999934434891,0.6800000071525574
1783806427508,-0.4758000075817108,-0.12020000070333481,0.6700000166893005
1783806427528,-0.47530001401901245,-0.1193000003695488,0.6600000262260437
1783806427548,-0.4749999940395355,-0.11840000003576279,0.6399999856948853
1783806427568,-0.4745999872684479,-0.1177000030875206,0.6100000143051147
1783806427588,-0.4740999937057495,-0.11680000275373459,0.5799999833106995
1783806427608,-0.47369998693466187,-0.1160999983549118,0.5400000214576721
1783806427628,-0.4731999933719635,-0.1152999997138977,0.5099999904632568
1783806427648,-0.47290000319480896,-0.1143999993801117,0.4699999988079071
1783806427668,-0.4724999964237213,-0.1136000007390976,0.4300000071525574
1783806427688,-0.47209998965263367,-0.1128000020980835,0.3799999952316284
1783806427708,-0.4715999960899353,-0.11180000007152557,0.3199999928474426
1783806427728,-0.47119998931884766,-0.11110000312328339,0.27000001072883606
1783806427748,-0.4708999991416931,-0.11020000278949738,0.20999999344348907
1783806427768,-0.47049999237060547,-0.10930000245571136,0.14000000059604645
1783806427788,-0.4699999988079071,-0.10859999805688858,0.10000000149011612
1783806427808,-0.46970000863075256,-0.10809999704360962,0.12999999523162842
1783806427828,-0.46939998865127563,-0.10769999772310257,0.1599999964237213
1783806427848,-0.4691999852657318,-0.10740000009536743,0.20000000298023224
1783806427868,-0.46880000829696655,-0.10689999908208847,0.23000000417232513
1783806427888,-0.4684999883174896,-0.10649999976158142,0.25999999046325684
1783806427908,-0.4681999981403351,-0.10610000044107437,0.2800000011920929
1783806427928,-0.46790000796318054,-0.10580000281333923,0.30000001192092896
1783806427948,-0.4675999879837036,-0.10530000180006027,0.3199999928474426
1783806427968,-0.4672999978065491,-0.10490000247955322,0.33000001311302185
1783806427988,-0.46709999442100525,-0.10440000146627426,0.3400000035762787
1783806428008,-0.4666999876499176,-0.10400000214576721,0.3400000035762787
1783806428028,-0.46639999747276306,-0.10369999706745148,0.3400000035762787
1783806428048,-0.4661000072956085,-0.10329999774694443,0.3400000035762787
1783806428068,-0.4657999873161316,-0.10279999673366547,0.33000001311302185
1783806428088,-0.46549999713897705,-0.10249999910593033,0.3199999928474426
1783806428108,-0.4652000069618225,-0.10209999978542328,0.3100000023841858
1783806428128,-0.4650000035762787,-0.10159999877214432,0.28999999165534973
1783806428148,-0.46470001339912415,-0.10119999945163727,0.27000001072883606
1783806428168,-0.4643999934196472,-0.10080000013113022,0.23999999463558197
1783806428188,-0.4641000032424927,-0.10050000250339508,0.20999999344348907
1783806428208,-0.46380001306533813,-0.10000000149011612,0.17000000178813934
1783806428228,-0.4634999930858612,-0.09969999641180038,0.12999999523162842
1783806428248,-0.46320000290870667,-0.09929999709129333,0.10000000149011612
1783806428268,-0.46309998631477356,-0.0989999994635582,0.10999999940395355
1783806428289,-0.4629000127315521,-0.09889999777078629,0.12999999523162842
1783806428308,-0.4627000093460083,-0.09870000183582306,0.15000000596046448
1783806428329,-0.4625000059604645,-0.09839999675750732,0.17000000178813934
1783806428349,-0.46219998598098755,-0.09830000251531601,0.18000000715255737
1783806428369,-0.4620000123977661,-0.09809999912977219,0.1899999976158142
1783806428389,-0.4618000090122223,-0.09780000150203705,0.20000000298023224
1783806428409,-0.46160000562667847,-0.09769999980926514,0.20000000298023224
1783806428429,-0.46140000224113464,-0.09749999642372131,0.20000000298023224
1783806428449,-0.4611999988555908,-0.09719999879598618,0.1899999976158142
1783806428469,-0.4611000120639801,-0.09709999710321426,0.1899999976158142
1783806428489,-0.460999995470047,-0.09690000116825104,0.17000000178813934
1783806428509,-0.4607999920845032,-0.0966000035405159,0.15000000596046448
1783806428529,-0.46059998869895935,-0.09650000184774399,0.12999999523162842
1783806428549,-0.4603999853134155,-0.09640000015497208,0.10999999940395355
1783806428569,-0.4602000117301941,-0.09619999676942825,0.10000000149011612
1783806428589,-0.46000000834465027,-0.09589999914169312,0.10999999940395355
1783806428609,-0.45980000495910645,-0.0957999974489212,0.10999999940395355
1783806428629,-0.4596000015735626,-0.09549999982118607,0.11999999731779099
1783806428649,-0.4593999981880188,-0.09529999643564224,0.12999999523162842
1783806428669,-0.459199994802475,-0.09520000219345093,0.12999999523162842
1783806428689,-0.45910000801086426,-0.09489999711513519,0.12999999523162842
1783806428709,-0.45890000462532043,-0.09470000118017197,0.11999999731779099
